profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
c_m158_054	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191008130441	uvp5	met_158_1_054	2019-10-08 13:04:41	0.0	-17.5	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_054.tsv	no data available	uvp5_sn210_2019_m158
c_m158_055	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191009133243	uvp5	met_158_1_055	2019-10-09 13:32:43	0.0	-18.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_055.tsv	no data available	uvp5_sn210_2019_m158
c_m158_056	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191010000751	uvp5	met_158_1_056	2019-10-10 00:07:51	0.0	-19.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_056.tsv	no data available	uvp5_sn210_2019_m158
c_m158_057	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191010094322	uvp5	met_158_1_057	2019-10-10 09:43:22	0.0	-20.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_057.tsv	no data available	uvp5_sn210_2019_m158
c_m158_058	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191010112754	uvp5	met_158_1_058	2019-10-10 11:27:54	0.0	-20.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_058.tsv	no data available	uvp5_sn210_2019_m158
c_m158_059	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191010191906	uvp5	met_158_1_059	2019-10-10 19:19:06	0.0	-21.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_059.tsv	no data available	uvp5_sn210_2019_m158
c_m158_060	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191011054823	uvp5	met_158_1_060	2019-10-11 05:48:23	0.0	-22.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_060.tsv	no data available	uvp5_sn210_2019_m158
c_m158_061	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191011223705	uvp5	met_158_1_061	2019-10-11 22:37:05	0.0	-23.11563	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_061.tsv	no data available	uvp5_sn210_2019_m158
c_m158_062	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191012002019	uvp5	met_158_1_062	2019-10-12 00:20:19	0.0	-23.10917	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_062.tsv	no data available	uvp5_sn210_2019_m158
c_m158_063	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191012051330	uvp5	met_158_1_063	2019-10-12 05:13:30	-0.01779	-23.0655	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_063.tsv	no data available	uvp5_sn210_2019_m158
c_m158_064	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191012183616	uvp5	met_158_1_064	2019-10-12 18:36:16	0.0	-24.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_064.tsv	no data available	uvp5_sn210_2019_m158
c_m158_065	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191013022655	uvp5	met_158_1_065	2019-10-13 02:26:55	0.0	-25.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_065.tsv	no data available	uvp5_sn210_2019_m158
c_m158_066	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191013051651	uvp5	met_158_1_066	2019-10-13 05:16:51	0.0	-25.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_066.tsv	no data available	uvp5_sn210_2019_m158
c_m158_067	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191013142234	uvp5	met_158_1_067	2019-10-13 14:22:34	0.0	-26.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_067.tsv	no data available	uvp5_sn210_2019_m158
c_m158_068	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191013224303	uvp5	met_158_1_068	2019-10-13 22:43:03	0.0	-27.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_068.tsv	no data available	uvp5_sn210_2019_m158
c_m158_069	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191014062310	uvp5	met_158_1_069	2019-10-14 06:23:10	0.0	-28.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_069.tsv	no data available	uvp5_sn210_2019_m158
c_m158_070	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191014152823	uvp5	met_158_1_070	2019-10-14 15:28:23	0.0	-29.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_070.tsv	no data available	uvp5_sn210_2019_m158
c_m158_071	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191015000407	uvp5	met_158_1_071	2019-10-15 00:04:07	0.0	-30.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_071.tsv	no data available	uvp5_sn210_2019_m158
c_m158_072	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191015085842	uvp5	met_158_1_072	2019-10-15 08:58:42	0.0	-31.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_072.tsv	no data available	uvp5_sn210_2019_m158
c_m158_073	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191015164543	uvp5	met_158_1_073	2019-10-15 16:45:43	0.0	-32.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_073.tsv	no data available	uvp5_sn210_2019_m158
c_m158_074	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191016015256	uvp5	met_158_1_074	2019-10-16 01:52:56	0.0	-33.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_074.tsv	no data available	uvp5_sn210_2019_m158
c_m158_075	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191016110038	uvp5	met_158_1_075	2019-10-16 11:00:38	0.0	-34.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_075.tsv	no data available	uvp5_sn210_2019_m158
c_m158_076	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191016201256	uvp5	met_158_1_076	2019-10-16 20:12:56	0.0	-35.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_076.tsv	no data available	uvp5_sn210_2019_m158
c_m158_077	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191016215331	uvp5	met_158_1_077	2019-10-16 21:53:31	0.0	-35.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_077.tsv	no data available	uvp5_sn210_2019_m158
c_m158_078	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191017055513	uvp5	met_158_1_078	2019-10-17 05:55:13	0.0	-35.5	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_078.tsv	no data available	uvp5_sn210_2019_m158
c_m158_079	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191017112823	uvp5	met_158_1_079	2019-10-17 11:28:23	0.0	-36.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_079.tsv	no data available	uvp5_sn210_2019_m158
c_m158_080	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191017181757	uvp5	met_158_1_080	2019-10-17 18:17:57	0.0	-36.5	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_080.tsv	no data available	uvp5_sn210_2019_m158
c_m158_081	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191018005043	uvp5	met_158_1_081	2019-10-18 00:50:43	0.0	-37.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_081.tsv	no data available	uvp5_sn210_2019_m158
c_m158_082	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191018092717	uvp5	met_158_1_082	2019-10-18 09:27:17	0.0	-37.5	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_082.tsv	no data available	uvp5_sn210_2019_m158
c_m158_083	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191018151022	uvp5	met_158_1_083	2019-10-18 15:10:22	0.0	-38.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_083.tsv	no data available	uvp5_sn210_2019_m158
c_m158_084	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191018205625	uvp5	met_158_1_084	2019-10-18 20:56:25	0.0	-38.5	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_084.tsv	no data available	uvp5_sn210_2019_m158
c_m158_085	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191019024357	uvp5	met_158_1_085	2019-10-19 02:43:57	0.0	-39.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_085.tsv	no data available	uvp5_sn210_2019_m158
c_m158_086	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191019082102	uvp5	met_158_1_086	2019-10-19 08:21:02	0.0	-39.5	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_086.tsv	no data available	uvp5_sn210_2019_m158
c_m158_087	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191019135600	uvp5	met_158_1_087	2019-10-19 13:56:00	0.0	-40.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_087.tsv	no data available	uvp5_sn210_2019_m158
c_m158_088	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191019153253	uvp5	met_158_1_088	2019-10-19 15:32:53	0.0	-40.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_088.tsv	no data available	uvp5_sn210_2019_m158
c_m158_089	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191019211644	uvp5	met_158_1_089	2019-10-19 21:16:44	0.0	-40.5	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_089.tsv	no data available	uvp5_sn210_2019_m158
c_m158_090	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191020023801	uvp5	met_158_1_090	2019-10-20 02:38:01	0.0	-41.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_090.tsv	no data available	uvp5_sn210_2019_m158
c_m158_091	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191020075016	uvp5	met_158_1_091	2019-10-20 07:50:16	0.0	-41.5	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_091.tsv	no data available	uvp5_sn210_2019_m158
